,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
2562547,8706547965,HYA4018,NY,PAS,08/28/2019,71,VAN,FORD,T,24650,54950,34700,20191005,120.0,120,120,348538,T303,A,0856A,,R,F,225,Corson Ave,,0,408,J6,,YYYYYYY,,,RD,,0,,0,11-A,,,,
6108714,8788817805,44937JV,NY,COM,10/31/2019,19,VAN,FORD,T,75121,13170,41920,20200228,50.0,50,50,357753,T201,C,0228P,,BX,F,645,W 239th St,,0,408,E2,, YYYYY,,,WH,,2006,,0,70,,,,
8626165,8776677072,G14LUB,NJ,PAS,02/20/2020,21,PICK,FORD,T,8940,8590,8690,88880088,114.0,114,114,367858,T401,P,1256P,,Q,O,35-43,37th St,,0,408,D1,,    Y,1130A,0100P,GREY,,0,,0,25-A,,,,
6470213,8776633056,JBK7531,TX,PAS,12/05/2019,40,SUBN,FORD,T,18040,0,0,20190088,106.0,106,106,365873,T402,M,0644A,,Q,I,E,89th Ave,35ft N/of 107th Ave,0,408,E2,,YYYYYYY,,,SILVE,,0,,1,V,,,,
9754000,8722149910,JMZ5157,NY,PAS,03/09/2020,21,SUBN,FORD,T,18830,26030,33630,20211028,75.0,75,75,358128,MTTF,B,0806A,,K,F,967,Belmont Ave,,0,408,J5,, Y  Y,0800A,0930A,WH,,2004,,0,24,,,,
784957,8719078596,14421ML,NY,COM,07/17/2019,69,VAN,NISSA,T,34470,10410,10510,20200531,14.0,14,14,361841,T106,L,0333P,,NY,F,5,W 35th St,,0,408,H1,, YYYYY,1000A,0400P,WH,,2016,,0,02,,,,
3262592,8735520668,61611JZ,NY,COM,09/03/2019,69,PICK,GMC,T,10910,0,0,20200331,10.0,10,10,356356,T102,X,0224P,,NY,I,W,9th Ave,40ft N/of W 23rd St,0,408,H1,, YYYYYY,0700A,0400P,WH,,2017,,0,99,,,,
1271969,4663086214,JHV7756,NY,PAS,08/19/2019,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0746A,,BK,,,SB HOWARD AVE @ E NE,W YORK AVE,0,1180,B,T,,,,GY,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8692694,8803856262,JEM8039,NY,PAS,01/30/2020,38,4DSD,CHEVR,T,77150,66020,57920,20201205,47.0,47,47,366443,T201,F,0217P,,BX,F,4742,White Plains Rd,,0,408,J6,, YYYYYY,0800A,0700P,BK,,2016,,0,19,,,,
321677,8747714979,JEY5594,NY,PAS,07/16/2019,38,SUBN,TOYOT,T,13610,0,0,20210124,20.0,20,20,362264,T103,FF,0359P,,NY,I,W,Broadway,23ft N/of W 67th St,0,408,I4,, YYYYYY,0930A,1000P,BK,,2018,,0,22,,,,
506169,4658509398,E67JHR,NJ,PAS,07/15/2019,36,4 DR,BMW,V,0,0,0,0,,0,0,0,,,1124A,,ST,,,WB HYLAN BLVD @ PETE,R AVE,0,1180,B,T,,,,SL,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
3118995,8698556190,11565MK,NY,COM,09/09/2019,46,REFG,MITSU,T,10010,18750,18770,20200331,23.0,23,23,370296,T103,H,1136A,,NY,F,1701,1st Ave,,0,408,E2,,YYYYYYY,,,WH,,2007,,0,52,,,,
9532433,8826253572,DGN988,MN,PAS,01/30/2020,21,SUBN,TOYOT,T,6680,8530,8580,20200088,66.0,66,66,363936,T302,V,1005A,,K,F,3918,16th Ave,,0,408,D1,,    Y,0930A,1100A,GREY,,0,,0,40,,,,
6291629,4673697005,GSB4788,NY,PAS,12/13/2019,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0953A,,BX,,,EB E 233RD ST @ KATO,NAH AVE,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9111842,8742014153,83705MG,NY,COM,02/12/2020,20,VAN,FORD,T,10410,18670,18690,20210331,19.0,19,19,369603,T103,AA,0854A,,NY,F,1034,5th Ave,,0,408,J6,, YYYYY,0700A,0400A,WH,,2015,,0,06,,,,
3906178,8755531283,GCP4940,NY,PAS,10/09/2019,71,SUBN,FORD,T,18470,10010,45590,20201218,19.0,19,19,368532,T103,CC,0939A,,NY,F,488,E 74th St,,0,408,D,,YYYYYYY,,,BK,,2010,,0,CC1,,,,
