tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:00.0,10:10.0,40.77548599,-73.95855713,40.72013474,-73.97497559
00:00.0,03:36.0,40.7282486,-73.98484039,40.73139191,-73.9753418
00:00.0,10:32.0,40.73101425,-74.00137329,40.74923706,-74.00306702
00:00.0,19:42.0,40.72111511,-73.98712921,40.79401779,-73.96990967
00:00.0,03:11.0,40.756073,-73.9834137,40.75623703,-73.97530365
00:00.0,00:00.0,40.73093414,-74.00458527,0,0
00:00.0,00:00.0,40.76689529,-73.95375824,40.73699188,-73.98653412
00:00.0,29:47.0,40.76609802,-73.98369598,40.68407822,-73.99192047
00:00.0,17:07.0,40.77838898,-73.95298767,40.82374954,-73.9078064
00:00.0,06:24.0,40.78371811,-73.95890808,40.78739929,-73.97894287
00:00.0,11:56.0,40.73705292,-73.98152924,40.72336578,-73.99028015
00:01.0,13:44.0,40.77641678,-73.95258331,40.76930618,-73.9850769
00:01.0,12:24.0,40.73971176,-74.00803375,40.76001358,-73.98774719
00:01.0,06:15.0,40.76160431,-73.97504425,40.74980927,-73.97731781
00:01.0,06:58.0,40.73049164,-74.00170898,40.74376678,-73.99889374
00:01.0,07:35.0,40.74326706,-73.98001862,40.73150635,-73.98282623
00:01.0,06:27.0,40.76029587,-73.98749542,40.76376343,-73.99634552
00:02.0,06:44.0,40.74268723,-73.98058319,40.74463654,-73.99165344
00:02.0,14:09.0,40.72382736,-73.99636078,40.74269485,-74.00352478
00:02.0,18:17.0,40.7747879,-73.95845032,40.84045792,-73.92638397
00:02.0,04:49.0,40.722229,-73.98812866,40.72674561,-73.99919128
00:02.0,10:38.0,40.74009323,-74.00100708,40.72680664,-73.98321533
00:02.0,06:05.0,40.76844406,-73.98469543,40.76784515,-73.9618454
00:02.0,20:18.0,40.7372551,-73.97534943,40.74432373,-73.99908447
00:02.0,14:34.0,40.72642899,-74.00218964,40.70375824,-73.99466705
00:02.0,07:10.0,40.7932663,-73.97463989,40.77710342,-73.98667145
00:02.0,11:03.0,40.72647858,-73.9916687,40.73952866,-74.00254822
00:03.0,27:20.0,40.73294449,-74.0038681,40.78315735,-73.97614288
00:03.0,22:43.0,40.7193985,-73.98680115,40.68638229,-73.9424057
00:03.0,05:24.0,40.75928879,-73.91969299,40.76477814,-73.90879059
00:04.0,07:21.0,40.77664948,-73.95763397,40.7630806,-73.97767639
00:04.0,07:03.0,40.76728821,-73.98614502,40.77843094,-73.97898865
00:04.0,04:45.0,40.77069092,-73.9509964,40.77789307,-73.95477295
00:04.0,21:26.0,40.76759338,-73.98278046,40.72180557,-73.99756622
00:04.0,03:16.0,40.73118973,-73.98877716,40.72705078,-73.98876953
00:04.0,06:13.0,40.77051544,-73.98738861,40.76491547,-73.99543762
00:04.0,10:57.0,40.78763962,-73.97136688,40.78131104,-73.94950104
00:04.0,10:23.0,40.74389648,-73.99503326,40.73950195,-74.00543976
00:04.0,07:58.0,40.7832489,-73.95918274,40.7985611,-73.97309875
00:04.0,17:00.0,40.74405289,-73.92476654,40.77028275,-73.92490387
00:05.0,15:42.0,40.71646881,-74.00680542,40.76414108,-73.97097778
00:05.0,05:00.0,40.76556778,-73.9264679,40.77487183,-73.9265213
00:05.0,13:30.0,40.77023697,-73.99239349,40.74483871,-73.98729706
00:05.0,23:30.0,0,0,0,0
00:05.0,20:48.0,40.70796204,-74.01390076,40.76787949,-73.99159241
00:05.0,04:59.0,40.72431946,-73.98473358,40.73125076,-73.98214722
00:06.0,04:08.0,40.74101257,-73.99781799,40.74824524,-73.99626923
00:06.0,08:03.0,40.74785614,-73.97360992,40.72976303,-73.98685455
00:06.0,06:38.0,40.75870514,-73.98152924,40.74876785,-73.98889923
00:06.0,01:24.0,40.78792191,-73.94436646,40.78651047,-73.95036316
00:06.0,06:04.0,40.73903275,-73.98292542,40.72983551,-73.98673248
